,solution_id,random_index,source_id,ra,dec,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,bp_rp,bp_g,g_rp,teff_val,lum_val,class
12949,1635721458409799680,12949,4328159700915548800,245.53017907652966,-15.674641995615616,16.488676,17.237038,15.649819,1.5872183,0.7483616,0.8388567,4319.3,0.12469299,K
12963,1635721458409799680,12963,4302403911622753280,293.2800132222525,9.615658845992666,16.46595,17.247108,15.582254,1.664854,0.78115845,0.8836956,4224.3335,,K
12972,1635721458409799680,12972,5832746599412523136,240.9818747671924,-61.62048379983906,14.866527,15.466796,14.083396,1.3834,0.6002693,0.78313065,4733.53,,K
13011,1635721458409799680,13011,4187560785394138240,290.4546479608656,-12.059442790443763,16.234129,16.70768,15.453383,1.2542963,0.4735508,0.7807455,4808.5,0.36724606,K
13019,1635721458409799680,13019,5803371084649171840,264.25566653127873,-73.05047283234036,16.441341,16.984205,15.754674,1.2295313,0.54286385,0.68666744,4874.0,0.25832915,K
13027,1635721458409799680,13027,4203019570983457920,283.0203348722839,-10.48508162887611,17.021473,17.847307,16.112726,1.734581,0.8258343,0.9087467,4141.5835,,K
13037,1635721458409799680,13037,5345443385238275840,174.72026422933547,-52.82228628819215,16.593481,16.955765,16.070429,0.8853359,0.3622837,0.5230522,6021.315,,F
13052,1635721458409799680,13052,5822156103393905792,238.822712934927,-66.87488283353504,16.529768,17.090813,15.832424,1.2583885,0.5610447,0.6973438,5020.9263,,K
13053,1635721458409799680,13053,1225344999794363136,212.81945011984266,10.80060629361631,17.060719,17.779835,16.239185,1.5406494,0.7191162,0.8215332,4495.0,0.14754659,K
13075,1635721458409799680,13075,5563497882720528768,102.72184789015006,-41.55193407136558,12.558417,12.887843,12.076862,0.8109808,0.3294258,0.48155499,5812.0,1.221624,G
13122,1635721458409799680,13122,4062599433480237056,269.0291361991602,-28.885473607803497,16.286411,17.387907,14.774032,2.6138754,1.1014957,1.5123796,3824.9797,,K
13138,1635721458409799680,13138,5547404468475850240,121.86243524287488,-33.38716512481172,16.849325,17.349867,16.162743,1.1871243,0.5005417,0.68658257,4866.25,,K
